depth,rop,wob,temp_out,rpm,gpm
237.7,225.36,0,98.18,0,1052.41
238.73,206.59,0,98.29,0,1050.99
239.74,106.42,0,98.4,0,1050.78
240.8,425.68,0,98.56,0,1047.12
241.8,360.58,0,98.67,0,1050.17
242.83,97.86,0,98.56,0,1048.54
243.87,95.35,0,98.56,0,1047.53
244.87,200.32,0,98.4,0,1044.68
245.9,109.32,0,98.79,0,1047.93
246.9,83.86,0,98.75,0,1045.09
247.94,218.74,0,98.75,0,1047.73
248.94,133.55,0,98.9,0,1045.69
249.94,148.74,0,98.9,0,1048.13
250.97,148.74,0,98.82,0,1046.1
251.97,94.89,0,99.05,0,1042.65
253.01,177.08,0,99.09,0,1043.46
254.01,161.67,0,99.01,0,1040.2
255.15,136.15,0,100.58,0,1020.85
256.22,91.22,0,100.77,0,1022.47
258.1,0,0,100.23,0,0
259.12,521.14,0,98.82,0,1036.92
260.12,428.18,0,98.86,0,1036.92
261.31,475.77,0,98.86,0,1034.68
262.32,277.37,0,98.9,0,1034.89
263.51,67,0,99.09,0,1035.09
264.54,70.16,0,99.09,0,1042.4
265.7,86.86,0,99.32,0,1043.62
266.76,256.67,0,99.36,0,1044.84
267.86,303.37,0,98.86,0,1046.06
269.01,379.02,0,98.98,0,1046.46
270.05,247.9,0,99.62,0,1048.29
271.08,131.85,0,100.65,0,1050.33
272.08,163.9,0,100.65,0,1049.51
273.15,59.76,0,100.69,0,1044.43
274.18,148.75,0,100.77,0,1044.23
275.21,120.46,0,100.96,0,1044.03
276.24,87.65,0,102.18,0,1036.9
277.28,137.73,0,102.1,0,1040.56
278.28,151.69,0,102.14,0,1036.5
279.37,74.42,0,101.95,0,1031.42
280.38,133.55,0,102.03,0,1031.01
281.44,159.64,0,102.1,0,1034.47
282.57,253.53,0,102.1,0,1025.93
283.63,239.46,0,102.18,0,1023.08
284.63,124.35,0,102.22,0,1021.45
285.7,166.58,0,102.26,0,1017.38
286.71,58.22,6.08,102.33,0,1037.12
287.72,231.99,3.64,102.26,0,1039.55
288.75,128.23,4.25,102.18,0,1041.18
289.81,112.68,7.3,101.99,0,1042.4
290.94,312.05,8.6,101.95,0,1041.59
291.97,116.21,32.39,101.76,0,1042.4
292.97,144.23,9.13,101.72,0,1045.04
293.98,200.33,8.98,101.65,0,1043.42
295.07,260.58,12.56,101.65,0,1044.43
296.23,132.23,37.35,101.57,0,1050.12
297.23,81.95,15,101.57,0,1049.11
298.36,139.87,27.28,101.57,0,1048.9
299.42,255.42,17.6,101.61,0,1045.45
300.58,143.77,31.63,101.68,0,1047.28
301.61,100.5,6.69,101.76,0,1044.23
302.62,75.13,8.14,101.91,0,1046.26
303.65,90.63,31.25,102.03,0,1044.43
304.65,92.46,13.18,102.18,0,1043.62
305.75,93.91,23.39,102.37,0,1046.67
306.75,116.31,27.28,102.48,0,1044.23
307.84,133.81,35.74,102.64,0,1048.3
308.91,109.47,23.54,102.83,0,1047.07
309.94,115.9,10.35,102.9,0,1044.23
311.07,256.66,9.21,102.94,0,1046.26
312.1,109.37,5.93,103.02,0,1045.86
313.13,309.87,6.92,103.09,0,1040.36
314.2,201.65,4.02,103.17,0,1042.4
315.2,400.65,20.88,103.21,0,1042.2
316.29,262.93,10.58,103.21,0,1043.01
317.45,208.45,13.63,103.25,0,1045.04
318.45,106.06,15.84,103.32,0,1044.43
319.49,81.23,11.8,103.44,0,1044.64
322.14,0,17.83,103.48,0,1042.4
323.36,93.82,23.01,103.51,0,1040.57
324.36,111.89,32.85,103.55,0,1038.74
325.39,52.71,24.54,103.59,0,1039.14
326.44,78.11,22.32,103.59,0,1038.73
327.51,124.84,19.12,103.59,0,1044.03
327.92,125.99,13.02,104.35,0,1010.67
329,69.09,8.68,104.5,0,1013.11
330.07,258,2.5,104.66,0,1011.68
331.1,205,19.81,104.77,0,1015.75
332.1,70.36,2.58,105.11,0,1016.77
333.1,73.45,4.02,105.31,0,1014.53
334.12,246.01,11.65,105.38,0,1010.26
335.15,147.59,4.18,105.46,0,1010.47
336.27,159.23,11.57,105.57,0,1009.45
337.4,150,11.8,105.65,0,1009.24
338.45,114.53,5.55,105.72,0,1004.97
339.47,230.63,26.9,105.76,0,1003.14
340.47,34.62,4.63,105.95,0,1008.64
341.52,297.68,11.5,105.99,0,1008.03
342.65,219.99,13.48,106.11,0,1000.91
343.7,87.9,7,106.07,0,1000.3
344.77,120.94,9.9,106.03,0,1020.41
345.8,514.29,0.9,106.26,0,948.09
346.75,361.31,8.42,103.48,207.23,1045.8
347.85,496.77,9.11,103.51,218.25,1045.39
348.88,309.6,0,103.63,263.26,1043.34
349.94,518.39,4.38,103.7,263.84,1048.26
350.95,604.82,4.46,103.74,264.94,1048.25
352.05,794.88,0,103.82,100.58,1048.46
353.08,863.99,10.56,103.82,109.68,1044.77
354.19,794.88,6.29,103.86,271.58,1043.14
355.22,719.99,24.97,103.89,92.26,1042.73
356.23,499.18,26.42,103.93,89.18,1044.77
357.31,530.2,10.33,103.97,97.19,1045.59
358.41,124.19,1.1,104.12,87.95,1043.34
359.54,451.2,16.89,104.16,71.04,1043.55
360.74,431.98,28.56,104.2,74.19,1046.61
361.85,2977.91,0,106.03,62.71,1044.57
362.89,310.21,0,105.99,68.02,1046
363.9,133.82,3.62,106.22,98.08,1042.11
364.93,374.41,23.45,106.26,80.28,1045.58
365.98,75.84,27.38,101.3,41.31,737.26
366.99,50.61,26.77,101.72,70.26,739.1
368,106.36,3.13,102.29,49.12,845.36
369.04,97.97,12.67,102.71,46.87,852.73
370.05,34.62,4.96,103.48,72.99,860.52
371.08,127.55,20.29,103.4,93.46,858.27
372.12,128.38,20.6,103.48,88,860.11
373.13,98.48,27.31,103.55,84.25,862.77
374.14,82.81,18.99,103.93,81.56,860.92
375.2,111.83,13.89,104.05,73.9,861.34
381,100,6.34,104.05,79.27,864.4
382.24,87,0,104.28,76.1,828.1
383.26,42.94,7.32,104.39,114.54,852.3
384.3,77.91,13.27,104.77,84.64,853.73
385.36,112.24,12.96,104.73,111.16,855.16
386.4,133.56,16.7,104.73,102.8,851.48
387.41,165.57,17.23,104.73,88.36,851.27
388.43,169.22,2.52,104.66,122.9,852.3
389.47,249.3,13.73,104.73,111.95,848.82
390.49,140.9,18.38,104.73,109.6,853.93
391.53,186.98,18.15,104.81,115.34,848
392.54,169.23,13.57,104.85,100.11,851.07
393.56,126.32,7.47,104.81,89.28,852.91
394.62,95.4,15.02,104.89,72.96,852.91
395.64,96.41,6.48,104.85,78.88,853.32
396.66,95.89,16.7,104.81,72.74,852.91
397.7,124.66,8.39,104.81,75.52,853.54
398.71,101.75,13.73,104.81,77.11,884.3
399.77,93.07,9,104.81,80.98,849.43
400.81,65.61,5.72,104.96,99.2,839.58
401.83,91.58,8.77,104.92,90.47,839.79
402.87,93.49,4.27,105,93.64,837.13
403.91,143.82,4.8,105,89.98,837.94
404.97,190.78,3.13,105.08,91.02,841.42
406.01,149.58,10.98,105.11,73.78,844.5
407.02,77.91,15.55,105.11,94.41,854.96
408.04,126.32,13.5,105.19,76.04,857.21
